7.2e+00     ;   2.11e+02;       439;  -13.2;  -156.25;-6.87138e+00      ;  5.18e+01   ;52.968811   ;   162	;     -1.845e+02;-87.1684956       ;      -2e+02    ;2.7574e+02;     0.862
-4.128e+01         ;   -141.5263264;       -7.73665  ;29.520718 ;    -13.670283;  -3.3349e+01;             5e+01;  145.365        ;-56.764694;    -44.42785;-7.860e+00  ; 74.41616   ; 5.0887524e+00;  1
         -105;          20.77  ;      -2e+02  ;       -39.54539    ;-5e+01;   2.24e+01         ;    6.04931;  -141.76;            6.637148;    6.58e+01;          5.3812;     3.927e+01 ;          -1e+02 ; -0.239777
  68   ;-141.7214      ;        141.8;         59.36295;       69.5184  ;          -65.85        ;          116.251         ;332 ;         -8.2e+01 ;    -135.898 ;         5.72 ;    71.66;         2e+02; -0.4463; 
1.3904e+02;         66.4        ;         -310.6    ;      5.644e+01	;343.1 ;  -105.6    ;     -2.9116066e+02     ;-207.5802 ;    -2e+02;259.41; 109.457666; 79.001038;   -83;          -0.70647
-7.429e+01        ;-2.534390e+02    ;  -3.744665e+02; -1.2490090e+01     ;   -102.4;                113    ;          -129     ;   -199.3946378;  -43.244 ;         3.3e+02     ;         20.3;   56.395 ;     -5e+02      ;    1.3
     1.25e+02;   116.63698      ;-1.884261e+02;        9e+01 ;  3.38958e+02  ;       -2e+02;   -285.094682;        -1.28e+02;-163.694020;1.2689295e+02; 112.586;         28.7960717    ;       31.9916;  -1.47e+00
   -7.1446e+01;   2e+02      ;197.33  ;    -6e+01;-64.52711;             8.42e+00       ;3.3597e+02 ; 164.0250127;         1.0496296e+02;-378.398        ;   -4.78e+01;       -29.381  ; 290.8712   ;   0.79
101.3 ;2.1488e+02  ; -69.119  ;      5.1918        ;      2.3e+02         ;-9.36511e+01;                -121;      -1e+02 ;-76.078996  ;1.51e+01;7.004988e+01;    10.983;     178;2.65436e-01
52.892089;2.0182267e+01    ;-86.02071  ; 2e+01;1.7120e+01    ;         1e+01;               -2e+02;        -158.13;            -13.34;         2.6362e+02;     3.53066e+01			;-8.62325e+00   ;  -153.52;3.5e-01
81.27813         ;     1.45932e+02;   -1.592691e+02 ;      10.343         ;            2e+02; -6.290562e+01;   -162.495241   ;     -2e+02;       -66.5;  5.8875808e+01      ;    86.00591;           -4.78         ;        29.7; 1.85688
     9e+01;      -33   ;          -392.61;      -15.0580;         162.1;             79.0;         -1.13e+02 ; -185.77359    ;-4.7228149e+01;  1.7e+02;     1.36e+02 ;         -9.6857 ;        -3.0386563e+02;  -0.096
69.409012	;-129.6;   -6.5e+01 ;-1.5     ;       150.69         ;        -21.45      ; 2.742838e+01;         1e+02;  -109.9700        ; -2.68e+01;      2e+01     ;       8.5e+01;63.875;0.981082
