4.784e-01;-4.903060e-02     ; -0.6439142  ;       0.2;          1.766e+00         ;  -7e-01;0.1848622;         0.7	;     -0.06 ;      -2.22   ;               1.47 ;       0.16  ;     0.8710868 ; -1.17;              -1; 4.3044065e-01;          -1.04;        0.5;    1.0  ; 0.185    ;      0.792711 ; 0.136255;           0.9    ; 1.93e-01     ;          0.6;     0.60  ;  8.53876e-01 ;    -0.2716        ;-2.8e-01         ;         -0.206279;   -0.3549749   ;0.522375       ; -3.02524e-01     ;  -1.88e+00  ;-5.1253680e-01;       -0.3     ;       1.2930488e-01   ;    0.4826;0.677311;   -1.4381400e-01;1.357;             0.3545;          0.156       ;2.3088e+00;  -0.192;-1.05566e+00        ;    -2.0805e+00;         -8e-01;-0.645;-1.013;                   2;   2.9686e-01;           -0.0466;    -8.4e-01; -0.281890;   -0.675  ;          -0.4    ;          2.856;      1
      -1;         -0.07        ;   -0.6 ;          -0.0   ;-1.322763e+00  ;  1.635e+00;  -0.1;     -8e-01;     0.995336       ;        0.757 ;           -0.4     ;   -0.84886      ;      -0.33;     -2.2581;     0.66  ;        0.3805;     -0.4331796;1.565255e-01       ;   1.66;    0.7029499;0.53420;-7.664e-01        ;2.1782548    ;-0.2666780       ;-6.53779e-02;         -0.01;        -1.3703851;        -0.102;       -0.920879         ;   -4.894633e-01;               0.3152      ;0.1525753	;        -0.5        ;         0.4 ;       -1.125078 ;       -0.709     ;  -2e-01;  -8.16069e-02; -2.270186e-01 ;                  2.15;0.86155	;  -0.9669  ;        -3 ;       -1         ;            -6.82e-01;   0.0535956     ;          0.47		;          0.3      ;0.2225;   1.5021e-01;      1.6168477e+00;-1.34e+00;      0.401174;     -0.76844;     -0.509031  ;   0.1014106;0.32785;       0.1; -5.3229130e-01
    -1.269369;          -0.3;       -1.7421620 ;  0.2200518;       0.72755  ;    -7.3e-01      ;  -0.23827  ;-1.0089e+00	;1.5         ;    -2.035121;         -0.3;1.215;    0.4003  ;           -1;-6.448e-01;3.930556e-01  ;-8.33e-01;          1.15     ;             -2        ;         0.16; -2.0525 ;-0.56  ;        -0 ;    0.98411   ;   0.58	;         1.22 ;2.8264e-01         ;           0.106155			;      -0.8784665;      1.20095;         -3.78846e-01;                   0.5      ;   0.4869495  ;    -6.4e-01  ; -1;       2.6e+00;                1 ; -2;      8.726036e-01  ; -1.022651e+00;  0.6207608;   0.84402  ;      0.58897;        -1.6660e+00    ;      -0.08604;      -9.4208e-01;-2e+00   ;  -8.3787e-02      ;              0.011;-1.152e+00        ; 4.16e-01        ;      -0.6;     -1.82e+00;      -1.676;  -0.312;  -0.41;         0.467;       -0.79;           -0
0.08617;1.0941e+00;      0.175;    0.0481;                 -0.67;   -1.0308111;      2e+00       ;     -0.18664;      -0.443583     ;     1.3e+00  ;       -1; -3.3212084e-02        ;-0.6  ; -0.814944       ;            -1.5    ;-7e-01;    -5.5727016e-01;   -5.5e-01;            0.594101  ;    -1.6593;    -0.3219472	;   0.636;  0.2168204;           1;     0.642    ;      -3.51603e-01 ;   0.94095     ;        0.649       ;3.2310e-01;-0.237509;     -0.46       ;           -1;-2.671502e-01;   -1.289      ; 0.33584 ;       -8e-01;-0.2;  0.9;         1.72     ;-1.49e-01	;          -0;       -1.5823;7.08e-01       ;1.1994;    -3.08757;     -5.7e-01   ;     1.4052         ;       -6e-01;       0.416      ;          -0; -0.55         ;-0.5913			;      -1.1e+00;     -0.87517;0.329738;      -1     ;-3.5046;     -5.7e-01;       -3.08e-01
  0.374;-0.9197;0.5424;      -2 ;5.3454938e-01    ;   0.419        ;     6.4e-01;              -1  ;        0.9826835   ;      -0.141312 ;    -0.079; 0.37        ;   -1      ;  -1.0 ;           3  ;    0.68310   ;       -1.2e+00		;-9.8e-01   ;      0.41972;-0.04688;         2.2;        0.48 ;            1.4; -1.0760893;-0.218273;     0.28;-1.0188620e-01			;    0.833131;           0.1250   ;      1.855271e+00    ;    -0.0778;     -1e+00;    -1.7196;   1.490659e+00;         1       ;-1.667527e+00	;4.8052672e-01; 0.23164;9.55291e-01; -1.39808  ;     2.327550e+00         ;       -4.1e-01;           -0.1;   8e-01       ;  -0.0322 ;-1.27e+00;  5.30802e-01 ;1.7073e-01;        0.4235 ; -4.4e-01;            0.713    ;        -0.3;-4.17e-01     ;      -9.566e-01 ;  -0.6806352;       -2.1593;  -0.750208        ;    -1.65			;      -4.304e-01
      0.638896			;0.8272506        ; -0.6    ;-0.266   ;          -0.1;  -3.0486e-01 ;-1.70771e-01 ;   0.4716;           -2   ;         -1.508004e-01 ;6.7e-01;0.8143569;        -0.14 ; 1.29;-0.161        ;0.13   ;      1.7072954    ;   -0.1542;      -0.059         ;-2.44e+00;-8.68e-01 ;   -1.197848;-9.2566e-01;          0.4        ;       -0.8263004 ;0.368;  -4.494266e-01 ;9e-01       ;       1.77898e-01; 0.7314; -0.008;           -1.187e+00;    -0.6;       -0.3417		;  -1.07089  ;          -0.676128;                1;       -1.2      ;       1e-01       ;      0.79; -3.816829e-01; 0.09;    -0.67895     ;    -6e-01;1.998366    ;        -0.232         ;-1.693852e-01;-0.343;-3.2877424e-01 ;      0.1069  ;       1        ;         1.208   ;4.26791e-01  ;-2.3282e+00   ;    7e-02    ;            1      ;           0.8;          0.9;      2.1
      2.567911;        1.7235;    0.5373 ;           1.7542    ;  0.1;   -1.2787505;        0.140   ;-1.39166  ;1.1e+00;               1.7;          1e+00 ;        -1.1908   ;         -0.5;-1.581e-01 ;          -1.2;  -2.25e+00;       2.8141210e-01;            -6e-01     ;-1.072768      ;      -1.200613;1.6e-01;     -0.49064     ;     -4.404e-01;      1.56808e+00;         1.5e+00   ; -1.53e+00;       0.079   ;            -1.419644;    -0.1      ; 1.1469;        0.19        ;        -1.9656e-01;     -1e+00;         -4.6832321e-01;   0.26649 ;         -7.8e-03       ;            1;             0   ;         -0.05;     -0.51367;          -0.6099;-0.271354;   -7.1e-01;      -1.14376;       0.353;-1.76; -1.507792e+00;-8.0605281e-01;  0.1445;    -5.211e-01      ;     -1.6390501e+00 ;     0.21083         ;   0.04;  -1.88287;-6.07e-01   ;      1.5		;     -3.9319e-01;          -0.2 ;  -2
  -1.45273   ;               1;  0.490137;           -1   ;         1.38925e-01    ; 6.225e-01;0.527566; 0.4;     0.160484   ;-1.263;-0.4   ;-0.114274; -1.473146e+00 ;0.3904;        1.71143;    -0.8     ;       -2.27;      -3.31e-01;   -3.884249e-01  ;      0.31;  -1  ;1.682;-0.997395;               1;    0.1797887;         -0.7744989;-1.3;-1.55e+00  ;0.16026;    2.047059e-01  ;  6e-01;  3.229e-03 ;     -1.0e+00;  0.4766346  ;         -7.3129520e-01   ;           -2.4;1.1199034e+00;    9.744753e-01;         -0.5;   -2.09e-01; -1.7      ;   1e+00;    1.27966e+00 ;        1.127637        ;         -0.61;   5.1e-02;       -0.2519;      -1.26;   9.144e-01;     1.482673e-01;       -0.015;     -1.3999     ; -0.20371;     1.61483e-01   ;       -0.38271        ;        -0.741    ;        -7.305e-02			;   -0.7717 ;            -0.193044
  -0.8;           0.1 ;     -1.494        ;     -0.752959         ; 5.83e-01  ;  -0.2737; -0.69910   ;   0.39659; 0.6926509;            -1;       -6.532e-01;      0.8       ;-8.4800e-02;  0.8310      ;        0.0797356;    -0.41 ;    -1.914;    -1.1236;-2.0103e+00;5.0988509e-01;      -1.5;  0.72686;-5.745e-01        ;2.192		;0.265375     ;            -0.247     ;-5.297e-03;-8.220e-01;-1.54817e+00;-2.041695  ;2.189596;-1.602    ;0.149279       ;1.559903   ; 0.31;               -9e-01;       -1.43e+00;   7.3140e-02 ;  2	;   -1.58e-01      ;       1.8e+00        ;   -2.0312e-01        ;     -1.208746    ;8.1440e-01;       0.542928      ;0.5749548;0.57714         ;       -1.361220e+00	;   1.187e+00       ; -0.48      ;     0.348050 ;             0.1        ;     0.21111;            -0.471;      -0.504929 ;                 1 ;  -1.803   ;         -0 ;       -1.1612e+00
  -0.4083119		;    1        ; 0.429    ;1.3696457e+00    ;         1.139 ;  -1.44e+00  ;     2.79e-01   ;        0.1385; 1.5216e+00     ; 0.835791 ;  -0.9354;           -1.0e+00 ;  6.0985e-01;-0.5853;  0.87179;2.059;   -1.0936     ; -2.2872968e-02;   0.5866       ;    -0.5067472;                  0.4   ;          0.240585         ;      0.3 ;          4.157e-01;      6.20e-02;-2.13842e-01;      -1.2        ;          1.495        ;1.47017    ;       -0.91836;-0.11        ;    8.78045e-01       ;       0.8;      0.5; -3.418e-01 ;       0.8805     ;             0.6;       0.6  ;     -0.262;1.5513     ;          -0.625864;           0.2;            -0.40;        0.6499        ;      -0.88774;      0.581880     ;       -0.49 ;-6.9e-01    ;      -1.450130e+00;9.4497801e-01   ;         -0.3494319;         -1;    -4.18730e-01 ;         0.01430614;   0.1385863       ;   -0.4450185;   -0.151242  ;       -7.4e-01;        -0.2184180
