         4e+02;     2.9749e+01	;      -71.81;   85.17;        -216.3724  ;37.54241   ;       1.9e+02;      81.76478;  1.3e+02        ;2e+02;      -731.12899;393.626   ;    -578;    1068.822      ;    38.99145;     -5e+01;      5.60739e+02 ;     -2.0461
 -306.838    ;-8.44488e+01   ;     15.65338    ;2e+02  ;3.407884e+02  ;-8.229176e+01;         154.662     ;  -238.35;      -3.18908e+02;-33.64781;  4e+00  ; -167.4814;    173;   -39.1920612;   144.2639 ;  -5e+01;    -272.8 ;          0.0
-5.897e+01         ;             -4;      41.57319     ;              123.1; 2.6571454e+02    ;         7.210	; 158.5   ;     -74.213;         -4 ;     8e+01;-395.1733   ;    -3e+01    ;         -48        ;3e+02	;7.77582e+01        ;      -1e+02;-50.2  ;  -1.1e+00
3.300e+02;     61.383895     ;       -165 ;         2e+02    ;             -313         ;        -57  ;  1.4e+02;2.17e+01;   7.5966e+01    ;3.88242e+02 ;            -6e+02       ;  3.79e+02   ;  -2.0310e+02  ;7.8716e+02      ;        7e+00;  36.3706;  448.629782   ;        0.3847828
      -253.04;    -120  ;-2.9e+02    ;     108.56885;  -7.37e+00  ;         52  ;-3.982135e+02 ;211.01 ;    6.016;   19.7094;  487.235928 ;  -28.32787         ;    4.718369e+02;    -752.0020189         ;   -2.4444616e+02		;    103.71   ;    -1.45189e+02  ;    -0.1938227
 -334     ; -123.882        ;         -2.1e+02   ;        2.7882e+02  ;278.729  ;           0.41522         ;        9         ;        -105  ;      -3.1840192e+02;    1.2e+02    ;    2e+02;-11.5409;             219  ;   -1.69146e+02;  28.7777077; 1e+02;   -108.98;-0.9917927
   -249.92869         ;  9.6777;2e+02;         -7e+01   ;          93.2			;        -1e+02     ;          1.3e+01;  -235.238188       ;  -1.599e+02    ;     -2.1656e+02    ;          374.9838;-384.04 ;   339.069;       -6.2377e+02;       141.424;    -94.39;  -491.312929   ;-0.855959
92.7;-76.256;      51.55;          -153  ;        177.5  ;          131.1978;79.768;       122.878         ;      -70.9730;  -185.090;   1.063402e+02;   1e+02    ; -5.18e+02 ;     453.25075;       15.0342  ;     8.2e+00    ; 2e+02;-1.5967738e+00
1.034e+02       ;  -7.2328e+01  ;         -1.8e+02;   -114.437177;   -13.45029;       111.6      ;     -75.8543;  228.545; 108.8; -33.43   ;   1.2738846e+01 ;     191.5;          -91.19037    ;215.71959 ;            -180.941  ;         91.51     ;         236.38  ;-9.70433e-01
-3.7e+02;   139.7057218;-36.063487;  478.072;     40        ;-425.24  ;        191.5    ;   -4.6e+02;       -350.9160244 ;   5.293e+02;    -442.245 ;-225.889930    ;        6e+02;             6;      3e+01;-66.0915648    ;-280.81;      0.16204
     -245       ;       -107.336    ;        4.66509e+01;-3.7300494e+02 ;39.52587     ;    133     ;    -384;188.6055437; 7.41854e+01        ; -522.607;    1064.2486901     ;    -301.7    ; 2.9e+02;-1093;-180.1925864  ;      1.47449e+02 ;    -3.442662e+02;  0.279
-54.2462993;1.52e+02;-5.3213e+01;1.334086e+02;   3.0259e+01; -164.3758  ;        2e+02;  -252.23;-8.2e+01;207.960986   ;   -4e+02  ;-7.6842e+01 ;343.126203 ;-70.02395  ;75.777817   ;-5.5e+01;-192.9045;  0.7575121
  2.8e+02;7.038194e+01    ;          37.9   ;-1.1417838e+02;        -1.3e+02;          8e+01;     20.031  ;   147.2029			;          1e+02         ;   3e+01;  46;        183.6301;  -249.2154819 ;   1.541e+02   ;-1.5299e+01;           6.55463;     227.99   ; -1.34499
   -321.05393   ; -54.491;  -1.995e+00    ;    -4e+01  ; 3e+02;      7.29097e+00;          -67.276;-111.8366 ;         -1.4e+02        ;  -170.4421749    ;         469;     -285.5;            5e+02;      -788.6863;               4.9e+01         ;      61.6        ;  -509.05;        -1.64
    -4e+02 ;  -9e+01;        9.11216e+01;-48.085;      3e+02;    -154.18;   8.9855276e+01  ;     -3.10864e+02; -2.5070e+02;-218.2036         ;7.2e+01      ;            -373   ;4.142828e+02;        -1.59650e+02    ;     1.04363e+02	;-1.95e+01     ;       -5.03e+02;  1
         61.4        ;   134.774329     ;      135.702  ;    104.0037;     7.4008834e+01    ;      -5e+01;         259.21  ;       -143.58;-2.5406713e+01 ;            173.17;     -320;         -2;     -175.5976         ;262.517;       95.28; -7e+01;88.21 ;-3.1e-01
-4.972494e+02       ;-1.1873896e+02; -1.9e+02   ;  5.135e+01;    259.516   ;       -55.20351 ;        -2e+02 ;-117.9490849      ;        -2.51e+02;      -100   ;6.8910e+02 ;-3.394e+02         ;      1044.117;    -1225.4   ;-37.1677580        ;            116.6970961    ; -714.65;     -1.5371
