0.3524441;        1.940 ;    7.43653e-01;         0.1893018;     -0.35704    ; 3.0703e-01;       2.986733e-01;-7e-01         ;        -0.4     ;   0.02404428;              1.5;  0.26; 0.9
   -2.3306435  ;          -1 ;  -5.7618558e-01; -1.286124;     -0.6839045       ;3.05e-01;   0.315232  ;             0.32   ; 0.9503 ;         1.707       ;    -0.28663  ;     -0.07329081  ;-1.815
 0.9;       -0.1227;0.88382         ;-0.88019 ; -0.555739;       -4.7173e-01; 1.057753e+00;1.07243; -0.961; -1.2       ;          -0.8        ; 2.1747e-01;  0.504
        -7e-02;-2.05598e+00  ;      6.0e-01 ;-1.159e+00  ;        1.804341    ;  -3e-01 ;    -0       ;     -0.14			;             -1e+00 ;-1.35746;            2    ;            -0.2;  -1
-1.056317e+00      ;           0.6083;        -1.2832e+00     ;-0.27501        ;    -0.81;          -0.54 ;    1.429510    ;       -0.512335;3.981004e-02;        -0.09      ; -0.128856;      -1.39805;0.9014
         1.48     ;         -0.7;  -2.32;     0.5139		;-1.0  ;       -0.297         ;      -0.25        ;       0.5;0.0303097  ;  0.9       ;     -1.0;  -3.2e-01       ;   -1.1966
  0.657534 ;        1.7   ;         0.51;       1   ;-8.3097e-01   ;-0.002;  0.047        ;       -0       ;7.363e-02 ;3.38e-01;          0.8;      -1e+00;         -1.30658
1.034370;     -1.4689e+00  ;   9.7932e-01    ;        1e+00 ;6e-01     ;          3  ;  4.7498e-02    ;2.0290655e-01;          0.1213;   -0.2266;        -3.878e-01;-1.785845e-01 ;-0.9472
         1;             -7e-01    ;     -0.39     ;8.69763e-01;    -2.136;         -2.84227e+00;-3.1720138e-02  ;0.6935776    ;    8.7e-01  ;-0.078159; -1.085938e+00;          0.8;                2
 2.073e+00;    1 ;    -1.6264597;      -0.6493258 ; -1.170e+00    ;             -1 ;-9.7e-02;       1.781e+00; 2.0983      ;           3e-01        ; 1.72;     1.899187    ;-0.75080
0.16417  ;            -7.0e-01;            0.6       ;    1.23613e+00;        0.9672;     -4.510415e-01;-4.630436e-01   ;        -2.24232;       0.7162427;     8.2e-01  ; -2.02 ;             0.34       ;       0.83923
     -0.932   ; 2.0200e-01;      -0.63726  ;        -0.676498;  -1.060755;      0.838558;-6.3368614e-01       ;      -0.8058        ;          1.310085       ;0.01917 ; 1.571313e+00;-2.880e+00         ;       -2
