 -1e+00;       0.60187 ;    -3.520e-01;        0.7;   0.9220536;   -0.2288503    ;   1.68218e+00 ;9.8855e-01 ;   1.3092e+00 ;      0.7320295   ; -0.870116
0.22486    ;2.8687e-01     ;         1.283108   ;      -1.45407 ;      -1.585;      -0.7  ;           -1.35;        -0.03        ;    0.8     ;       0.7  ;-0.4911078
1.1893181e+00;     4.408178e-01 ;     0.4860645;1.13516e+00;   -0.65245;      0.5213  ;     -0.017846   ; -1.20012e+00    ;         -1;4.171739e-01;         -0.198
0.17089        ;         0.4   ;     -3.38e-01;               1.513; -6.04903e-01     ; -1.16751   ;                   0;             0; -0.696761   ;              -0;   -0.942303
-0.2350  ;        -2e+00     ;-3.001773e-02 ;   1.4727 ;-0.22063;5.5e-01;      -0.110959      ; -8.74e-02;0.16;   -1.762769e+00 ;     1.151113
2.241157e+00;6.882e-01; -0.165398; 4.5170e-01 ;  1.59  ;          7.42902e-01	;     -1.21265e+00		;  -1.05983     ;       -0  ;       0.125;     -1.064
-1.4416116; 1.2760;  2.198    ;1.59923        ;          -1.2 ;-4.5992979e-01         ;        0.35722;          0.298	;        -0.1;0.1122   ;           -0.525519       ;
-5.979e-01 ;1.5789698e+00        ;      1.56	;   -1.060e-01        ;          -0.2218723		;-0.29587;-1.4106; -2e+00;                -0.2  ;     -0.1;    0.6776
        -0.5;9.111792e-01 ; 0.41;       -0.6	;           -7e-01;      -0.2672       ;        0.9        ;            1;      0.3 ;      -0.074      ;    5.48618e-01
-1.51635  ;   0;-4.31888e-01		;-3.3e-01  ;       -7.91e-01;-1e+00		;-0.768 ;    -0.2402400  ;   1.5647e+00 ;     1.5607 ;  -0.21561
