1.4e+00;      0.0311;      0.3907		;          -0.1184223    ;        -1       ;-1.937939	;  1.389812		;     1     ;-0.532257;  -8.02789e-01  ;   0.13      ;-0.0704
0.4605175  ;  1.490338e+00;               5.0e-01      ;    9.33531e-01;-3.5259114e-01;   0.8498192      ;         6e-01;       -2  ;-8.4446524e-01;  -1.025 ;        0.4739     ;1.2e-02
     -0.95520;        -1.17         ;         -0.38221;  2.08509 ;      -0.74;    -0.7097        ;               -1.26;      -0.275    ;    0.845;         0.965352     ; -1;   -3e-01
  -0.2     ;     2.030e+00    ;  6.3785e-01 ;-1.7309e-01   ;  0.97053 ;     -9.2e-01; 0.8822;     -9e-01     ;  -0.0   ;0.16       ;     0.29731 ;    -6.645e-01
      -7.9e-01		;         9.63855e-01;     1.01  ;      -0.44;     1.03e+00       ;    1.649282       ;            8.74e-01         ;        5e-02;   1.05680e+00     ;     -1       ;           0.16        ;      0.17
       -0;             -0.8		;     0.9474848  ;        -1.118; -0.4 ;-0.046        ;  3.11177e-01   ;-7.918005e-01;     1.3e+00    ;   -0.25   ;1.8727e-01 ;      -0.234487
4.072174e-01 ;             -0.804    ;-7.343e-01;     -2.7808e-01       ;  1.6199;          5.78e-01;              0.4207    ; -2;       -0.35990;0.1539;         -0.02670522; 2.16252
       0.7173; 1.007214  ;0.75645    ;    1.2e+00 ;    1.8838 ;    1.1;5.703858e-01;    1.4278e+00;        1e+00; -1.9127733e-01;          -0.9;4.431648e-01
   0	;     -1.89465;-0.624464;    -6.710006e-01;-7.50227e-01;    0.5036679;         -0.81      ;5.984890e-01;           0.184;      0.7095;   -1.0029e+00     ;           0
-0.2       ;-2.010954e+00   ;  -1.5;      0.3;   1.087;          -0.12        ;0.98633     ; 6.3e-01    ;  2.4341194e-01  ;2.10780e-01;       0.12         ; 0.4049
       -0.08     ;      0.2; -0.2165  ;-0.4564   ;         4e-01       ;     1.028  ;       0.579505; 2.2381217     ;          0.73    ;      0.550;0.7195948;    0.875
