 -240.8350315      ;      -3e+02         ;      49.6866;   -5.57693e+02   ; 3.9e+02;   2.4e+01;      779.17;-206.5152706         ;   -119.69;    -1.22532e+02  ;              -458;                  -97;  -219.1602;      -548.1239127    ; -1.1e+02 ;44.0473 ; -0.43514 ;      
-1.8e+02 ;  -1.2727e+02;6.370e+01		; -452.89; 247.5297; 6.3719887e+01;       537.6042   ;        3.8101e+01 ;  -6.89880e+01  ;   9e+01;-4.53e+01 ;     22			;        -216;-309.57617      ;       -193.5       ;      44.89;2.654677e-02
     -69.406;          -384.9097    ;          -50.6  ;-580.5816    ;       2.81872e+02        ;       -93 ;        250.66203;-6.357e+02;     -361      ;    -6.6e+02   ; -6.018e+02;     -5e+02; -4.6359517e+01       ;  -568.5683;       1.520e+02;109.7;  -0.2873002
-4.070e+02;      -219.14  ;295.66;  -6.1419755e+02;   164.18         ; -5.20185e+01;             605  ;      -2e+02    ; -46.9406832   ;    -23     ;1.142413e+02        ;          -342;-332.31	;        -418;    -1.849e+02;  2e+02     ;      1.27e-01
 2.9278163e+02;        383.880;   -220.80372 ;     6e+02;     -1.9e+02    ;         -83.5  ;     -6.8216e+02 ;    391.06762;1.8949e+02 ; -8.70182e+00  ;   23;      2.6e+02;272.8268994 ;    577.4821303   ;6.49e+01 ; -251.912935     ;-1.19e+00
2.960977e+02  ; -493;   1.68369e+02  ;-5.8343380e+02;        5.069621e+02 ;               -17.7  ;       251.13;-553.935441;      -282.594234;                 -6e+02    ;-8.520680e+02   ;-215.946164;       3.986e+00;     -6.0171054e+02	; 5e+02; 95.6    ;         1.325
-364.5 ;   -8.66950e+01     ; 12.328; -5.970e+02   ;   278.811537   ;1.9745286e+02;         994.2498464         ; 1.5e+01;-39.8216;    1.78e+02;         -163.56;           121;    -5.5e+02;          -4.85383e+02;   -3.8e+02    ;1e+02;    0.9286
117.43062 ;5e+01    ;        1.135587e+02;   1.671e+02  ;           -8e+01         ;          168.0400      ;          41.3;            122.3      ;66.8572937; 2.907106e+02     ;     204.727097		;   2.9976e+02      ;     -104.700146    ;     56.11;      -0.1514518   ;2.255295e+00   ;0.7444
-25.950540;   -190.3 ;-23.68128;-1.3689e+02;               128  ;  4.6910e+01 ;     274.94589; -244.0167      ;-4.1398e+01;   -56.1597435 ;-3.8285312e+02       ;     -6.9541748e+01;    -2e+01;     -211.603;       170.62 ;9.617324e+01;  -5.418e-01
   1e+02;        -1e+02 ;      -5e+00;3e+01   ;         81.393; -1e+02;-223 ;-282.4;-4.960108e+01;      -397.824;-403.5803129;        -2e+02;     157.7;-20.86190;  284.8489     ;  4;    -8.106675e-01
6.11111e+01;         1.4e+02  ;             22      ;        187.73    ;     -172.1  ;       5;   -2e+02;   1.79e+02;                9e+01   ;      136.7899;288.5459  ;  1e+02;            -27.24585 ;2.0018440e+02   ;           -4.81e+01   ;    -25.1  ;1.039854
  215.412;     155.343;     -150.5954 ;     5.8065709e+02;            -408;-1.713113e+02       ;    -8.900e+02      ;      -0.2986;       121.554;-8.0347394e+01;              171    ;-1.80642e+02;   432.364         ;  5.3052361e+02   ;       307    ;         -1.7   ;     7.11e-01
  238.538187;           291 ;  7.8014455        ;6.149835e+02    ;-302.4486         ;   20;  -5.0929e+02;      2.7e+02  ;2.642133e+02    ;      3e+02      ;        238.2160    ;        270.6;8.0e+01       ;     5.07e+02        ;           141;          -69.27425;           -0.353
    -74.54  ;               -3e+02   ;      536.87 ;-5.441458e+02     ;     4e+02		;     -9.994e+00 ;    679.2496  ;     -255.9      ;1.465e+02;      62.3; -4e+02 ;        -1.263e+02      ;        -236.1987;-4.37415e+02  ;254.541;     2.64e+02      ;        -1.7640843; 
179.29660 ;        5.7045e+02;      -340.4577651;       8e+02;       -302.52  ;         152;-222.1389    ;   666.5;2.414777e+02;           398.003	; 234.4307;711.86672 ;       -78.21;               5.0e+02 ;-291.5; -400.3978	;      -0.462113
   -29.98 ;     260.479;     -7.76e+01;  2.4e+02 ;    -225.78;-3.69407e+01   ;       -324.5275;196.58;    59   ;4.121035e+01       ;  367 ;        27.294      ;     -6.959;2.85671e+02;  -190.891594   ;        -79.6  ;     0.2
