  280.653966			;                282;         256.301   ; -6.2480e+01;-1090.1 ;          -254.86   ;-334.109;     -715        ;                   740;      -757.8434;      -2.90134e+02; -422;     5.9963e+01 ;      37       ;-438.803;     444.3; 6.5838e+02;    -172.488     ;     122.2934  ;    3.34642e+02;       -866.579 ;0.3619562
  694;     -381      ;      373.9  ;              35;           -0.749;    -649.1304977;       4e+01;     1.74e+02;192.55;    205;136.2361630;        407.14        ;      -336.692         ;   4.2642e+02;      4e+02   ;              -3e+01;-341.9158853     ;   1.57e+02;  9.0e+02   ; -724.61; -175.66421; 1.321
     -2e+02;      -2.463348e+02      ; 3.9640e+02		;             67.951; -7e+02;         -512.4404     ;         -2.314918e+01;-314.637586;   6.3e+02      ;       -5e+02;   1e+01 ;    4e+01;    331.6       ; -286.395;-3e+02 ;7.5316406e+02    ;   -58  ; 1.9e+02		; 8.2610e+02  ; -9.7711  ; -978.37 ;       1e+00
1.14e+01         ;   -309			;    -4.7049e+01        ; 134.36 ;         285;       -2.5454e+02;135.14580  ;497.49     ;     -7.009e+01;        336;       1.206e+02;             2.5e+02  ;1.5925623e+01 ;1.9e+02      ;    550.39         ;  -3.105e+02     ; -541.4341   ;    124.0343174    ;        183.1328;-325.91;       -89;-1.702
4e+01; -1.6e+02;328.9; -5.628311e+01      ;                -252;     -701.02  ; -6e+01			;    -1.142978e+02        ;       158.4;           -243   ;-1.65e+02; 3.1e+02  ;  -2.7620e+02     ;-1.38e+02	;    45.5977      ;              597 ; 4.1465725e+01	;      252.5059;      722.48        ;     -2.437e+02;   -149.7857;   1.64521e+00
 -259.3085;    -620; -1.69943;-105.4557  ;    152.5;  -5e+02 ;  -272.1203604;      3.07e+02  ;      -3.12160e+02      ;         3.1e+02  ;  -276.2    ;   4.9619196e+02;  -5.6e+02  ;       9.99;4e+02     ;163.2108407    ;         -618         ;     2e+02   ;              -10.160;       -467.8;-84.7009  ;-0.497331
3e+02     ;6.459320e+02    ;    2.5e+02  ;   9.01483e+01;      -7.5e+02         ;        4.9581e+02        ;     1.14e+02;   -8.0210e+02;     581.5 ;-8.890e+02;2.30805e+02        ;     -857.9   ;         7.3e+02;-186.7928;-816.62;   7.266482e+02;   1132.87355;    -2e+02	;  67.057852   ;       588.985    ;     -5e+02;           0.477
        -115.3;       693 ; -2.70e+02    ;  208.06;5.34335e+02		;      510.4;               444      ;-1.09145e+02        ;   -142.2825409;         3.4373e+02;         109.6; -121.20;1.6776387e+02;     190.02293		;       24;-6.9147e+02;   76.1;      -96.6       ;      -157.17;        4e+02;    793.5754012 ;          0.6433
         2e+01 ;          6e+02  ;   -64.3122;-8.1513316e-01 ;         13.58  ;      236.9  ;    1.4e+02;   -4e+02 ;    -32.41;     7.1105069         ;-9.40877e+01    ;         -152.55;    -110; 2e+01;       -1.364e+02;         -221    ;  4e+02 ;          -1e+02		;      -143.760       ;    499.174;            548  ;   3.5777e-01;   
       -199.68;-650.33;       2e+02  ;-2.04262e+01         ;     -3.994e+02;       -7e+02;     -246.91;       1.5e+02;  331;  -2.7e+02 ;  -1.820547e+02; 314         ;       -4e+01;      -170.08  ;             -1 ;   3.83e+02   ;-4.091543e+02; 279.383;            6e+02;-471.482;         -917.76     ;       -0.019157
