        0.0  ;          1;   -0.5;     0.7677449       ;          0.53;         -2.87e-01         ;      -0.3   ;     -1; -0.6003720        ;   -1.0529e-01;1.017e+00        ;    1.89719e-02       ;  -5.77672e-01 ;       0.3184 ;            0.16
    -0.0405686     ;    0.6432 ;  -0.0259744        ;     0.527;-1.29097e+00   ;        -1.14;    0.8609 ;    -1.03;         1.01e-01 ;-3.5258563e-02;-0.8288586;    -0.5972 ;         6e-01        ;     0.5; -5.41355e-01
          -2;            -1;4.167e-01       ; 0.3650;   -5.1985087e-01;      0.4505571;1.331135     ;  0.4      ;1.23e-03;-4.521e-01;          -0.9468 ;-1.31e+00;       0.86234       ;    0.241;           -0.5
-1.6478207e+00    ;  -0.8364091  ;   1    ;         1.1843e-02  ;   0.8728         ;      1.102;5.823665e-01   ;          1.2     ;4e-01;  -0.148266         ; -9.6816e-01;        0.1;    0.3 ;  -0.3;   -0.3845
      0.091;        2.1394;      0.38162;               -1.107;0.8502752  ;1.43e-01         ;       -0.275169	;     1.149e+00;     -1.396;-1.19778;        1.856;         0.72082; 1.28;    1.4e+00		;               0.2
   -1.4051 ;         -0.828;2.99791e-01;  2.8366e+00;            0     ;  -0.0175; 8.6618977e-01;-7.5e-01   ;        0.693;   -1.165       ;         -0.6;  2.591e-01   ;     -6.9e-01 ;   -6.34e-01;   1
  -2e+00      ;  -1.2210e+00;                 -1.996   ;     1.2e+00        ;0.475;   -0.246146   ;     -1.211576 ;      -1.381;       0.2257; 1.16350  ;       -2.331e+00;            -5e-01;           -1		; -1.393329e+00    ;           -0.57844
-1.0091096e+00       ;   1.3709306		; 0.6864      ;           1.95;    -1.4401       ;     0.3;   -2.7758;        0.64167;  0.429        ;     1.681e-01;       0.165124;-0.41   ;    -3.77e-01;   -1;1.6273370e-01
  -2.6e+00     ;  1.429485e+00;-1.5755511e-01 ;-8.567e-01;    4.0325e-01;              -0.412     ;        -0.42;       0.4;       -8.084e-01;     2.085;  1.3199e+00;     0.778027;    -0.350785  ;      1.1  ;     -0.4
-1.13679e-01;          -1.9e-01   ;     -1.0106;-1.565908e-01  ; -1.02534e+00;      -1.811e-01 ;0.001933    ;  0.09055    ;-1.14939 ;    -1.47  ;0.061982;1.2589e-01 ;-8.0e-01;         -1.833e+00    ;             1.03
-1.11220e-01     ;          0.4;              9e-01  ;        -0.285286 ;      0.9272     ;      1.48446 ;        0.88815;        1.09878;             -4.0e-01;0.2174135      ;  -6.3951169e-01         ;        0.558846;        -0.11422 ;     0.332443    ;               9e-02
-1.48e-01;          0.46;   -6.18905e-01;   1.49629 ;2.8577358e+00;        0.3477353     ;0.1  ;  -1.3350e+00    ;         1.39347    ;0.49;     1.1506145e+00;        -0.788 ;     -8.90e-01;        -4e-01;            -0.8
   0.11;3.258369e-01     ;  2e+00;8.0e-01      ;          -1.7;   1.6e+00  ;    -1.12 ;           -1.6048;     0.1 ;   0.5;  -0.1;            0.69;        -2.235414;         0.89   ;         -0.37
1.23591         ;       -2.08e+00;-3.38948e+00;       -0.2     ;          -1.430164        ;         1.369e+00;             0.8037 ;    0.8650126;  -1.8963062e+00;-0.463 ; 3.7e-01;      0.5338073;   -3.84070e-01 ;  -0.3  ;-0.179
